timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg
8028.00,-0.242,0.726,0.138,-0.706,-0.457,-0.749,-0.292
8051.00,-0.242,0.727,0.145,-0.705,-0.401,-0.748,-0.293
8074.00,-0.246,0.731,0.141,-0.719,-0.512,-0.751,-0.293
8097.00,-0.246,0.737,0.138,-0.762,-0.485,-0.752,-0.291
8120.00,-0.246,0.740,0.135,-0.747,-0.443,-0.752,-0.291
8143.00,-0.248,0.741,0.136,-0.706,-0.443,-0.752,-0.293
8166.00,-0.248,0.744,0.141,-0.748,-0.416,-0.752,-0.293
8189.00,-0.245,0.751,0.143,-0.677,-0.525,-0.748,-0.291
8212.00,-0.246,0.753,0.142,-0.609,-0.429,-0.746,-0.292
8234.00,-0.249,0.757,0.141,-0.733,-0.470,-0.749,-0.292
8257.00,-0.250,0.758,0.141,-0.733,-0.360,-0.750,-0.292
8280.00,-0.253,0.762,0.141,-0.664,-0.484,-0.751,-0.291
8303.00,-0.257,0.765,0.141,-0.720,-0.457,-0.754,-0.292
8326.00,-0.256,0.766,0.144,-0.650,-0.498,-0.751,-0.295
8349.00,-0.257,0.766,0.145,-0.692,-0.401,-0.751,-0.297
8372.00,-0.263,0.773,0.142,-0.719,-0.415,-0.756,-0.292
8395.00,-0.263,0.778,0.142,-0.776,-0.457,-0.756,-0.291
8418.00,-0.264,0.779,0.142,-0.677,-0.359,-0.756,-0.291
8441.00,-0.264,0.782,0.142,-0.637,-0.388,-0.754,-0.291
8463.00,-0.263,0.782,0.141,-0.677,-0.387,-0.751,-0.292
8486.00,-0.265,0.783,0.142,-0.801,-0.497,-0.753,-0.295
8509.00,-0.266,0.786,0.141,-0.774,-0.415,-0.755,-0.295
8532.00,-0.266,0.785,0.141,-0.722,-0.458,-0.754,-0.299
8555.00,-0.267,0.785,0.141,-0.636,-0.290,-0.753,-0.299
8578.00,-0.267,0.786,0.139,-0.624,-0.485,-0.751,-0.302
8601.00,-0.270,0.792,0.137,-0.664,-0.484,-0.752,-0.300
8624.00,-0.273,0.796,0.135,-0.692,-0.512,-0.753,-0.300
8647.00,-0.274,0.799,0.137,-0.788,-0.470,-0.755,-0.301
8670.00,-0.276,0.801,0.137,-0.788,-0.360,-0.757,-0.299
8693.00,-0.279,0.804,0.135,-0.566,-0.414,-0.756,-0.299
8715.00,-0.283,0.804,0.135,-0.622,-0.442,-0.758,-0.301
8738.00,-0.281,0.804,0.135,-0.748,-0.512,-0.756,-0.306
8761.00,-0.283,0.808,0.135,-0.817,-0.332,-0.759,-0.302
8784.00,-0.285,0.814,0.134,-0.747,-0.471,-0.761,-0.300
8807.00,-0.287,0.818,0.135,-0.721,-0.457,-0.762,-0.299
8830.00,-0.288,0.821,0.135,-0.635,-0.414,-0.761,-0.298
8853.00,-0.288,0.825,0.137,-0.650,-0.415,-0.758,-0.297
8876.00,-0.288,0.830,0.137,-0.637,-0.512,-0.756,-0.297
8899.00,-0.291,0.834,0.137,-0.690,-0.428,-0.757,-0.295
8922.00,-0.291,0.838,0.137,-0.804,-0.430,-0.758,-0.294
8944.00,-0.291,0.838,0.138,-0.677,-0.401,-0.757,-0.296
8967.00,-0.291,0.842,0.139,-0.650,-0.470,-0.755,-0.295
8990.00,-0.291,0.844,0.138,-0.664,-0.360,-0.753,-0.295
9013.00,-0.291,0.846,0.139,-0.747,-0.526,-0.753,-0.297
9036.00,-0.290,0.848,0.137,-0.801,-0.332,-0.752,-0.296
9059.00,-0.291,0.849,0.137,-0.734,-0.429,-0.753,-0.298
9082.00,-0.291,0.852,0.137,-0.721,-0.402,-0.753,-0.297
9105.00,-0.291,0.858,0.139,-0.553,-0.525,-0.749,-0.296
9128.00,-0.291,0.863,0.141,-0.761,-0.665,-0.749,-0.298
9151.00,-0.291,0.867,0.138,-0.760,-0.456,-0.749,-0.297
9174.00,-0.291,0.873,0.139,-0.704,-0.262,-0.748,-0.291
9196.00,-0.292,0.876,0.139,-0.775,-0.733,-0.750,-0.297
9219.00,-0.292,0.879,0.138,-0.595,-0.401,-0.747,-0.296
