timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg,kalmanx_deg,kalmany_deg
4914.00,-0.080,0.318,0.042,-1.051,-0.774,-0.920,-0.558,-0.996,-0.735
4936.00,-0.077,0.319,0.039,-0.970,-0.734,-0.918,-0.561,-0.990,-0.737
4959.00,-0.077,0.319,0.041,-1.010,-0.692,-0.920,-0.563,-0.995,-0.731
4982.00,-0.077,0.321,0.042,-0.983,-0.706,-0.921,-0.565,-0.994,-0.726
5005.00,-0.076,0.323,0.041,-1.011,-0.678,-0.922,-0.564,-0.997,-0.716
5028.00,-0.077,0.326,0.044,-0.968,-0.747,-0.924,-0.565,-0.994,-0.720
5051.00,-0.077,0.328,0.047,-0.984,-0.707,-0.925,-0.567,-0.993,-0.718
5074.00,-0.077,0.332,0.044,-1.024,-0.719,-0.927,-0.565,-1.000,-0.716
5097.00,-0.076,0.332,0.044,-0.942,-0.679,-0.926,-0.568,-0.989,-0.709
5120.00,-0.074,0.332,0.047,-0.954,-0.705,-0.925,-0.570,-0.981,-0.709
5143.00,-0.074,0.335,0.048,-0.984,-0.804,-0.926,-0.572,-0.981,-0.725
5166.00,-0.074,0.336,0.048,-0.927,-0.705,-0.926,-0.574,-0.970,-0.722
5188.00,-0.076,0.341,0.045,-1.011,-0.734,-0.929,-0.572,-0.978,-0.722
5211.00,-0.080,0.347,0.044,-1.080,-0.734,-0.937,-0.569,-1.001,-0.721
5234.00,-0.077,0.351,0.044,-0.967,-0.690,-0.934,-0.568,-0.993,-0.714
5257.00,-0.077,0.354,0.042,-0.913,-0.691,-0.934,-0.567,-0.978,-0.709
5280.00,-0.079,0.358,0.044,-0.941,-0.720,-0.936,-0.566,-0.971,-0.709
5303.00,-0.081,0.362,0.041,-1.037,-0.760,-0.940,-0.566,-0.985,-0.717
5326.00,-0.083,0.364,0.041,-0.887,-0.624,-0.941,-0.566,-0.967,-0.700
5349.00,-0.084,0.369,0.042,-0.886,-0.692,-0.941,-0.563,-0.950,-0.695
5372.00,-0.084,0.374,0.044,-1.025,-0.720,-0.943,-0.562,-0.961,-0.697
5395.00,-0.086,0.374,0.044,-0.996,-0.816,-0.945,-0.567,-0.967,-0.721
5418.00,-0.087,0.375,0.045,-0.967,-0.704,-0.947,-0.568,-0.967,-0.720
5440.00,-0.087,0.378,0.047,-0.968,-0.747,-0.947,-0.569,-0.966,-0.725
5463.00,-0.090,0.378,0.045,-1.011,-0.748,-0.951,-0.573,-0.975,-0.733
5486.00,-0.088,0.381,0.047,-0.999,-0.722,-0.951,-0.573,-0.978,-0.732
5509.00,-0.090,0.383,0.047,-0.914,-0.803,-0.951,-0.575,-0.967,-0.747
5532.00,-0.094,0.388,0.042,-0.968,-0.677,-0.956,-0.573,-0.969,-0.734
5555.00,-0.094,0.388,0.042,-0.941,-0.734,-0.956,-0.576,-0.962,-0.738
5578.00,-0.094,0.392,0.047,-0.968,-0.747,-0.956,-0.575,-0.962,-0.739
5601.00,-0.094,0.395,0.047,-0.970,-0.790,-0.956,-0.577,-0.962,-0.750
5624.00,-0.093,0.399,0.049,-0.983,-0.734,-0.955,-0.576,-0.963,-0.748
5647.00,-0.091,0.399,0.049,-0.941,-0.733,-0.954,-0.579,-0.957,-0.749
5670.00,-0.091,0.400,0.047,-0.970,-0.693,-0.954,-0.580,-0.958,-0.740
5692.00,-0.091,0.404,0.045,-0.943,-0.735,-0.954,-0.579,-0.954,-0.739
5715.00,-0.093,0.408,0.045,-0.996,-0.705,-0.956,-0.577,-0.962,-0.731
5738.00,-0.091,0.413,0.045,-0.967,-0.760,-0.955,-0.577,-0.961,-0.735
5761.00,-0.093,0.415,0.045,-0.969,-0.734,-0.957,-0.577,-0.963,-0.735
5784.00,-0.093,0.418,0.044,-0.982,-0.775,-0.957,-0.579,-0.967,-0.743
5807.00,-0.097,0.425,0.042,-0.941,-0.678,-0.961,-0.574,-0.965,-0.728
5830.00,-0.095,0.425,0.041,-0.927,-0.678,-0.959,-0.576,-0.956,-0.721
5853.00,-0.098,0.427,0.042,-0.925,-0.773,-0.961,-0.578,-0.951,-0.731
5876.00,-0.098,0.430,0.041,-0.955,-0.678,-0.961,-0.578,-0.950,-0.721
5899.00,-0.098,0.432,0.041,-0.995,-0.746,-0.961,-0.578,-0.957,-0.725
5921.00,-0.098,0.434,0.038,-1.039,-0.776,-0.963,-0.581,-0.972,-0.735
5944.00,-0.098,0.441,0.037,-0.968,-0.760,-0.963,-0.578,-0.972,-0.737
