timestamp_ms,gyrox_dps,gyroy_dps,gyroz_dps,accelx_gs,accely_gs,accelz_gs
582497,0.000,0.000,0.183,-0.006,-0.015,1.011
582520,0.000,0.122,0.122,-0.008,-0.014,1.012
582543,-0.061,0.183,0.061,-0.007,-0.013,1.012
582566,-0.122,0.061,0.000,-0.007,-0.014,1.012
582589,-0.061,0.122,0.061,-0.008,-0.016,1.011
582612,-0.061,0.061,0.061,-0.008,-0.014,1.013
582635,0.000,0.183,0.061,-0.007,-0.014,1.011
582658,-0.244,0.305,0.000,-0.007,-0.015,1.011
582680,0.000,-0.061,0.061,-0.008,-0.016,1.011
582703,-0.122,0.122,-0.061,-0.007,-0.014,1.012
582726,0.122,0.183,0.061,-0.007,-0.015,1.012
582749,-0.122,0.122,0.000,-0.009,-0.016,1.011
582772,-0.061,-0.061,0.122,-0.006,-0.013,1.008
582795,0.061,0.122,0.183,-0.009,-0.014,1.010
582818,-0.061,0.000,0.061,-0.009,-0.012,1.011
582841,0.061,0.183,0.061,-0.007,-0.016,1.012
582864,-0.122,0.244,-0.061,-0.008,-0.015,1.012
582887,-0.183,0.122,0.061,-0.007,-0.017,1.009
582909,-0.061,0.122,0.061,-0.008,-0.016,1.012
582932,0.000,0.061,0.000,-0.008,-0.014,1.012
582955,-0.061,0.183,0.122,-0.007,-0.015,1.010
582978,0.061,0.061,0.122,-0.008,-0.016,1.008
583001,-0.061,0.061,0.122,-0.007,-0.015,1.009
583024,-0.061,0.183,-0.061,-0.007,-0.017,1.012
583047,-0.122,0.061,0.122,-0.007,-0.013,1.010
583070,-0.122,0.122,0.122,-0.008,-0.015,1.011
583093,-0.122,0.061,0.000,-0.009,-0.015,1.012
583116,0.000,0.122,0.122,-0.007,-0.014,1.010
583138,0.000,0.122,-0.061,-0.007,-0.015,1.010
583161,-0.061,0.122,0.061,-0.009,-0.015,1.010
583184,0.122,0.061,0.061,-0.007,-0.015,1.009
583207,-0.122,0.061,-0.061,-0.008,-0.016,1.012
583230,-0.122,0.061,-0.122,-0.008,-0.015,1.010
583253,0.000,0.183,-0.061,-0.007,-0.015,1.011
583276,-0.122,0.244,-0.061,-0.009,-0.016,1.009
583299,-0.061,0.305,0.061,-0.007,-0.015,1.010
583322,-0.061,0.122,0.061,-0.008,-0.014,1.010
583345,-0.061,0.061,0.061,-0.006,-0.014,1.012
583368,0.061,0.061,0.183,-0.005,-0.017,1.011
583390,0.061,0.000,-0.061,-0.008,-0.016,1.011
583413,-0.061,0.122,0.061,-0.007,-0.014,1.009
583436,-0.183,0.061,-0.122,-0.009,-0.013,1.011
583459,0.000,0.122,0.061,-0.009,-0.015,1.011
583482,-0.122,0.061,0.122,-0.007,-0.016,1.011
583505,-0.122,0.061,-0.061,-0.007,-0.015,1.009
583528,-0.061,0.061,0.061,-0.009,-0.015,1.011
583551,-0.061,0.244,0.122,-0.007,-0.014,1.010
583574,-0.122,0.183,-0.061,-0.007,-0.016,1.012
583597,-0.061,0.061,-0.061,-0.007,-0.016,1.011
583619,0.122,0.000,0.183,-0.009,-0.014,1.010
583642,0.122,0.122,0.122,-0.008,-0.016,1.011
583665,-0.061,-0.061,0.122,-0.006,-0.015,1.010
583688,-0.183,0.244,0.061,-0.009,-0.015,1.012
583711,-0.122,0.183,-0.061,-0.008,-0.015,1.012
583734,-0.061,0.122,0.183,-0.008,-0.014,1.008
583757,0.000,0.000,0.061,-0.006,-0.016,1.013
583780,0.000,0.061,0.000,-0.007,-0.014,1.011
583803,0.061,0.183,0.000,-0.006,-0.015,1.010
583826,0.061,0.183,0.122,-0.009,-0.014,1.010
583849,-0.061,0.061,0.061,-0.007,-0.016,1.010
583871,-0.061,0.061,0.000,-0.006,-0.015,1.011
583894,0.000,-0.061,0.061,-0.009,-0.015,1.010
583917,-0.061,0.000,0.061,-0.007,-0.015,1.014
583940,0.000,0.000,0.122,-0.008,-0.016,1.011
583963,-0.183,0.122,0.000,-0.007,-0.015,1.011
583986,-0.122,0.061,0.061,-0.009,-0.016,1.010
584009,-0.061,0.061,0.061,-0.006,-0.016,1.010
584032,-0.061,0.183,0.122,-0.008,-0.014,1.010
584055,-0.122,0.061,0.061,-0.009,-0.015,1.011
584078,-0.122,0.244,0.061,-0.008,-0.016,1.012
584100,-0.061,0.061,0.000,-0.008,-0.015,1.009
584123,0.000,0.183,0.000,-0.007,-0.015,1.010
584146,-0.061,0.183,-0.061,-0.007,-0.015,1.009
584169,0.000,0.061,0.061,-0.006,-0.015,1.009
584192,-0.122,0.122,0.122,-0.008,-0.015,1.012
584215,-0.061,0.183,0.122,-0.008,-0.014,1.010
584238,-0.061,0.061,0.061,-0.009,-0.015,1.012
584261,-0.061,0.122,0.061,-0.008,-0.017,1.010
584284,-0.122,0.244,-0.061,-0.008,-0.017,1.010
584307,-0.183,0.061,0.061,-0.007,-0.014,1.011
584330,-0.061,0.122,0.000,-0.007,-0.014,1.011
584352,0.061,0.061,0.122,-0.007,-0.016,1.010
584375,-0.061,0.305,0.000,-0.008,-0.015,1.011
584398,-0.061,0.183,0.122,-0.009,-0.013,1.012
584421,0.000,0.183,0.000,-0.007,-0.016,1.010
584444,0.000,0.122,0.061,-0.008,-0.015,1.012
584467,-0.122,0.183,0.061,-0.007,-0.015,1.010
584490,0.061,0.122,0.122,-0.006,-0.015,1.011
584513,-0.122,0.061,0.000,-0.007,-0.017,1.013
584536,-0.122,0.244,0.061,-0.009,-0.015,1.011
584559,-0.122,0.183,-0.061,-0.007,-0.015,1.008
584581,-0.122,0.061,-0.122,-0.009,-0.016,1.011
584604,-0.061,0.183,0.000,-0.007,-0.017,1.010
584627,0.000,0.000,-0.122,-0.008,-0.015,1.010
584650,0.000,0.183,0.122,-0.009,-0.015,1.008
584673,-0.061,0.244,0.000,-0.008,-0.015,1.011
584696,0.122,0.000,0.183,-0.008,-0.016,1.011
584719,0.000,0.305,-0.061,-0.009,-0.016,1.009
584742,0.000,0.122,0.122,-0.009,-0.016,1.011
584765,0.122,0.183,0.122,-0.008,-0.015,1.012
584788,0.061,0.000,0.061,-0.008,-0.015,1.012
584810,-0.122,0.122,0.000,-0.008,-0.014,1.010
584833,-0.061,0.000,0.061,-0.006,-0.015,1.009
584856,-0.061,0.122,0.244,-0.008,-0.016,1.012
584879,0.000,0.183,0.122,-0.007,-0.016,1.010
584902,0.000,0.061,0.061,-0.006,-0.013,1.010
584925,0.000,0.183,0.061,-0.006,-0.016,1.011
584948,-0.061,0.183,0.122,-0.008,-0.017,1.011
584971,0.000,0.061,0.183,-0.009,-0.015,1.013
584994,-0.122,0.183,-0.061,-0.007,-0.016,1.012
585017,-0.061,0.122,0.061,-0.006,-0.016,1.010
585040,-0.122,0.122,0.000,-0.007,-0.017,1.013
585062,0.061,0.183,0.000,-0.007,-0.016,1.011
585085,-0.061,0.000,0.061,-0.009,-0.014,1.010
585108,0.000,0.122,0.183,-0.009,-0.014,1.010
585131,0.061,0.122,0.183,-0.007,-0.014,1.011
585154,0.000,0.122,-0.061,-0.010,-0.013,1.009
585177,-0.122,0.061,0.244,-0.008,-0.012,1.009
585200,-0.061,0.000,0.122,-0.007,-0.014,1.010
585223,-0.061,0.183,0.183,-0.004,-0.020,1.011
585246,-0.061,0.122,0.061,-0.005,-0.019,1.013
585269,-0.122,0.122,0.000,-0.010,-0.014,1.011
585291,-0.061,0.061,0.061,-0.011,-0.011,1.010
585314,-0.183,0.061,0.061,-0.007,-0.013,1.010
585337,-0.061,0.244,0.122,-0.007,-0.018,1.013
585360,0.061,0.122,0.000,-0.007,-0.020,1.011
585383,-0.122,0.244,0.061,-0.007,-0.017,1.013
585406,-0.061,0.061,0.061,-0.009,-0.011,1.011
585429,-0.061,0.122,0.061,-0.009,-0.016,1.009
585452,-0.122,0.000,0.122,-0.007,-0.018,1.012
585475,0.000,0.061,0.061,-0.005,-0.018,1.012
585498,-0.183,0.061,0.122,-0.009,-0.015,1.011
585521,-0.122,0.061,0.061,-0.008,-0.014,1.012
585543,-0.122,0.061,0.122,-0.009,-0.015,1.009
585566,-0.061,0.061,0.061,-0.008,-0.013,1.012
585589,-0.122,0.183,0.061,-0.009,-0.016,1.012
585612,0.000,0.244,0.122,-0.008,-0.015,1.011
585635,0.000,0.122,0.183,-0.008,-0.016,1.010
585658,-0.061,0.061,-0.122,-0.007,-0.016,1.011
585681,-0.122,0.183,0.122,-0.007,-0.014,1.012
585704,0.061,0.061,0.122,-0.007,-0.015,1.010
585727,0.061,0.122,-0.061,-0.008,-0.011,1.011
585750,-0.061,0.122,-0.061,-0.006,-0.016,1.010
585772,-0.061,0.122,0.122,-0.006,-0.017,1.010
585795,-0.122,0.183,-0.122,-0.007,-0.018,1.013
585818,0.000,0.183,-0.122,-0.007,-0.015,1.009
585841,-0.061,0.061,0.000,-0.009,-0.013,1.011
585864,-0.061,0.183,0.122,-0.007,-0.019,1.011
585887,-0.244,0.183,-0.061,-0.005,-0.020,1.012
585910,-0.061,0.183,0.061,-0.006,-0.012,1.012
585933,0.000,0.122,0.061,-0.011,-0.010,1.009
585956,-0.061,0.122,0.122,-0.008,-0.012,1.009
585979,-0.122,0.244,0.122,-0.004,-0.020,1.013
586001,-0.122,0.122,0.061,-0.005,-0.020,1.013
586024,-0.061,0.183,0.183,-0.008,-0.011,1.011
586047,-0.061,0.122,0.061,-0.010,-0.010,1.009
586070,-0.122,0.183,0.183,-0.010,-0.016,1.012
586093,0.000,0.183,-0.061,-0.005,-0.019,1.011
586116,0.000,0.061,0.061,-0.009,-0.017,1.010
586139,0.000,0.183,0.061,-0.010,-0.010,1.010
586162,-0.183,0.061,0.000,-0.009,-0.013,1.011
586185,0.000,0.000,0.183,-0.007,-0.015,1.010
586208,0.000,0.061,0.183,-0.008,-0.021,1.017
586231,-0.122,0.183,-0.061,-0.008,-0.015,1.008
586253,0.183,0.000,0.061,-0.008,-0.011,1.010
586276,-0.061,0.122,0.183,-0.008,-0.016,1.009
